"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1917575098586005618","Wed Apr 30 23:58:26 +0000 2025","10","@AngelWi59406981 Met pagi sis tetep semangad jaga pak @jokowi pak @prabowo dan mas @gibran_tweet dr serangan hoax gerombolan kalah pilpres","1917730292988805606","","AngelWi59406981","in","","0","0","0","https://x.com/undefined/status/1917730292988805606","1604408934525464576",
"1917415198232899691","Wed Apr 30 23:58:22 +0000 2025","0","@AmaluddinSSili1 @alisyarief @jokowi seharus mulai dari Bambang jika ijazah asli di kasih tunjukan gak akan ribut konoha ini","1917730275431477568","","AmaluddinSSili1","in","","0","0","0","https://x.com/undefined/status/1917730275431477568","1636159842363768833",
"1917497936336019725","Wed Apr 30 23:58:15 +0000 2025","0","@DS_yantie @jokowi T 2L nya anda di tunjukan ke media apa tdk malu???? Ada2 aja yah kelakuan nya para pembenci ada aja topik ke T 2L nanya.","1917730246880813117","","DS_yantie","in","","0","0","0","https://x.com/undefined/status/1917730246880813117","1892094280241643521",
"1917021009687023781","Wed Apr 30 23:58:14 +0000 2025","0","@Epricila10 Isu ini bergulir sejak jokowi jd presiden.....orang terkuat di Republik ini....yg bs perintahkan aparatnya utk melenyapkan siapa saja.....maka hanya orang gila saja yg berani menuduh2 presiden ijazahnya palsu kalau tdk punya bukti2 yg kuat.....","1917730245689630889","","Epricila10","in","","0","0","0","https://x.com/undefined/status/1917730245689630889","1250984878742487042",
"1917542401801072903","Wed Apr 30 23:58:03 +0000 2025","0","@is_pelssy enak bgt jokowi dikasi panggung lagi gara2 orang gada kerjaan ngurusin ijazah","1917730198075891745","","is_pelssy","in","","0","0","0","https://x.com/undefined/status/1917730198075891745","117400147",
"1917463580477382916","Wed Apr 30 23:58:00 +0000 2025","0","@anasurbaningrum ini seperti cerita Tuhan Yesus yang di cobai iblis untuk membuat batu jadi roti... bagi Yesus itu gampang... tapi kalau yesus mengikuti perintah iblis berarti Yesus taat sama iblis... Jadi menunjukan ijasah asli itu gampang tapi kalau di tunjukan artinya jokowi taai sama iblis ..","1917730185178407150","","anasurbaningrum","in","","0","0","0","https://x.com/undefined/status/1917730185178407150","1612454917024940032",
"1917374315022188731","Wed Apr 30 23:57:53 +0000 2025","4","@DokterTifa Menurut tifa ternyata wajah @jokowi juga palsu ","1917730154912317795","","DokterTifa","in","","0","0","0","https://x.com/undefined/status/1917730154912317795","400029997",
"1917523147492057109","Wed Apr 30 23:57:32 +0000 2025","29","@aewin86 Ini lagi termul begoo .. Jokowi hnya menunjukkan ijazah ke penyidik Polda kok bangga ??? Tunjukkan k ahli forensik yg betul² independen.. dalam atau luar negeri ..","1917730067410776262","","aewin86","in","","0","5","0","https://x.com/undefined/status/1917730067410776262","4746080590",
"1917479029957091722","Wed Apr 30 23:57:18 +0000 2025","0","@democrazymedia INGAT KASUS JESICA WONGSO RISMON MENYATAKAN TITO N BARESKRIM IKUT REKAYASA SEHINGGA ORANG TAK BERSALAH DIKORBANKAN... APAKAH KEBIADABAN KEDUA AKAN DIBERLAKUKAN PADA PENGGUGAT IJAZAH JOKOWI...SEMOGA KALI INI POLISI N HAKIM INGAT AKHIRATMU !","1917730008820506857","","democrazymedia","in","","0","0","0","https://x.com/undefined/status/1917730008820506857","1716264342306643968",
"1917433066831896590","Wed Apr 30 23:57:08 +0000 2025","0","@Andiarief__ Jokowi Jd walkot udah jadi gub dki udh jadi presiden 2x sudah tinggal nikmati masa tua mau apa lagi biar gak ruwet serahkan ijazah asli salah satu jawaban buat orang yg gugat eloknya ikuti langkah SBY udh purna tugas bermusik nyanyi ngelukis main sama cucu hpd yg indah","1917729965396877605","","Andiarief__","in","","0","0","0","https://x.com/undefined/status/1917729965396877605","1055302040",
"1917466184423035057","Wed Apr 30 23:57:06 +0000 2025","0","@tekarok007 @yaniarsim @msaid_didu Padahal secara fisik ya lebih gelap said didu dibandingkan Jokowi mah ","1917729958551773305","","tekarok007","in","","0","0","0","https://x.com/undefined/status/1917729958551773305","897749262653509632",
"1917471166832468130","Wed Apr 30 23:57:03 +0000 2025","0","@ZulkifliLubis69 @jokowi @UGMYogyakarta Penuh dusta","1917729944958034313","","ZulkifliLubis69","in","","0","0","0","https://x.com/undefined/status/1917729944958034313","1742741731664355328",
"1917729822421442627","Wed Apr 30 23:56:34 +0000 2025","0","Woi Mulyono @jokowi kerjaan luh nih","1917729822421442627","","","in","","0","0","0","https://x.com/undefined/status/1917729822421442627","184326469",
"1917598032193019937","Wed Apr 30 23:56:26 +0000 2025","0","@NenkMonica Pertanyaan nya apakah photo yang di ijaxah itu photo Jokowi ?? terus bulannya bulan Januari atau Nopember??","1917729791572336799","","NenkMonica","in","","0","0","0","https://x.com/undefined/status/1917729791572336799","2266135086",
"1917463580477382916","Wed Apr 30 23:56:20 +0000 2025","2","@anasurbaningrum Politik jokowi itu penuh strategi tong....ga kaya koruptor.. yang penting nyolong duit dulu.. ketangkep cengar-cengir.. kaya ente.","1917729764267417982","","anasurbaningrum","in","","0","0","0","https://x.com/undefined/status/1917729764267417982","2474947530",
"1917715040297443424","Wed Apr 30 23:56:18 +0000 2025","1","@UmarHasibuan__ Hanya yang berjiwa iblis yang percaya sama jokowi..","1917729755820089524","","UmarHasibuan__","in","","0","0","0","https://x.com/undefined/status/1917729755820089524","553400440",
"1917019217557377286","Wed Apr 30 23:56:17 +0000 2025","0","@DokterTifa Kamu kurang cerdas hanya jadi bagian elemen2 yg dikelola Jokowi untuk memantain popularotasnya ... terus saja .....","1917729753785852370","","DokterTifa","in","","0","0","0","https://x.com/undefined/status/1917729753785852370","1807405422770540544",
"1917729742108909934","Wed Apr 30 23:56:14 +0000 2025","0","Emang udah rada2 para pembenci pak Jokowi ini. Diam sejak 2019 ketika diterpa isu Ijazah dan sekarang makin gila tuduhannya dan karena Pak Jokowi ga mau ngasih makan mereka dgn tunjukin ijazah ke publik dan malah ke penyidik mereka sebut ga Negarawan?? Memalukan sih haha","1917729742108909934","","","in","","0","0","0","https://x.com/undefined/status/1917729742108909934","1004355718244257792",
"1917729687444545791","Wed Apr 30 23:56:01 +0000 2025","0","Saatnya Jokowi diundang CN69 ke tribun Curva Nord. @Inter","1917729687444545791","","","in","","0","0","0","https://x.com/undefined/status/1917729687444545791","1847271745939783680",
"1917547554025398300","Wed Apr 30 23:55:51 +0000 2025","0","@AiraNtieReal Uang korupsi untuk persiapan buat bayar Lawyer Jokowi dan keturunan nya dan semua orang pinter dinegara ini dibodohi nya","1917729645623140633","","AiraNtieReal","in","","0","0","0","https://x.com/undefined/status/1917729645623140633","1911020413842583552",
"1917374315022188731","Wed Apr 30 23:55:51 +0000 2025","0","@CBhamid22 @RingSatoe @DokterTifa Iya tuh peringkat ke 10 di Asean satu tingkat diatas Timor leste serahkan masalah ijazah palsu/asli Jokowi pada ahlinya yg mempunyai IQ tinggi lah...","1917729643676983453","","CBhamid22","in","","0","0","0","https://x.com/undefined/status/1917729643676983453","1506242904209379334",
"1917729603587825912","Wed Apr 30 23:55:41 +0000 2025","2","Herkules sebut Tri Sutrisno bau tanah kalian bilang sudah kurang ajar. Padahal fitnah kalian kepada Jokowi ijazah palsu lebih kurang ajar lagi Sejujurnya bukan hanya Tri Sutrisno semua kalian dibawah ini juga bau tanah !!! https://t.co/O9AuH4AvTh","1917729603587825912","https://pbs.twimg.com/media/Gp0k6JUaMAAjD33.jpg","","in","","0","1","0","https://x.com/undefined/status/1917729603587825912","1743939521673367552",
