original_text,processed_text
Mending plonga plong Tinimbang pinter go minteri,mending bingung plong timbang pintar go minteri
Hidup amin Raiso bapa repormasi,hidup raiso bapa repormasi
Mantaappps... Btlllll pak...,mantaps btl
Yang menghina itu lambemu min,menghina itu lambe min
Amin rais manusia paling redah pikiranya..pengabdi hawa nafsu dan iri dengki,manusia redah pikiranya abdi hawa nafsu iri dengki
Wes mbah lereno wes tuo,kakek lereno tua
Alhamdulillah masih ada orang yang mengakui kebodohannya.seorang yang mengakui pandai tapi kebodohannya malah ditayangkan  dengan opini mengadu domba bikin negara gaduh.semua politik itu tidak laku karena rakyat sudah mulai maju.,orang aku bodoh aku pandai bodoh tayang opini adu domba bikin negara gaduh politik itu laku rakyat maju
Mien...mien....jauh dari ajaran islam watakmu mien,mien mien ajar watak mien
"Aku misalkan dekat rumah mbah amin , aku pulingin jongkok dimulut dia mberakin mulut makluk satu ini ,",aku rumah kakek aku pulingin jongkok mulut dia mberakin mulut makluk ini
"Dr awal muncul sampai bentar lg bersatu dng😂😂 bumi,orang ini mulutnya bau busuk...😂😂😂",muncul bentar satu dng bumi orang ini mulut bau busuk
"Dasar gelandang politik, ngemis cari pendukung, udah bauk cacing tanah msh banyak bacot",dasar gelandang politik ngemis cari dukung udah bauk cacing tanah bacot
pelawak,lawak
"Sdh tdk jadi presiden jokowi orang ini perlu ditangkap ,,dedam pulitik hibran jd wapres aparat jgn orang2 yg saket hati",presiden orang ini tangkap dedam pulitik hibran wapres aparat orang saket hati
Amien pret entut berut bin bau,bohong entut berut bau
"Rakyat Indonesia jg menyesal i knp di Indonesia lahir se ekor AMIN RAIS yg mulutnya kayak sapiteng,licik, bahkan keji lebih kejam dari PKI",rakyat indonesia sesal i knp indonesia lahir ekor mulut kayak sapiteng licik keji kejam pki
Sudah kek..Ocehan kakek amin rais kayak anak TK paud,oceh kakek kayak anak tk paud
Amin Rais adalah ketua MPR terburuk sepanjang masa.,ketua terburuk
Tar lagi kan kerna karma dari pak jokowi.orang baik sllu di hujat.senentar lagi bapak kaya pak egi dia dah kna karma.,tar kerna karma orang sllu hujat senentar kaya egi dia kna karma
Yg buruk ya sampean pak amin.dah tua.bukan nya sadar.yg menghina ya bukan pak jokowi.yg menghina ya kamu pak.gregetan bangt aku liat orang ini.,buruk ya kamu tua nya sadar menghina ya menghina ya kamu gregetan bangt aku lihat orang ini
Amin Rais kakek yg karena irihati jadi terjahat &amp; terculas ...😂😂😂😂,kakek irihati terjahat culas
Amin tercerrewet gk laku dijual,cerewet laku jual
Namanya juga gelandangan... bicara ne tersesat sepanjang masa.,nama gelandangan bicara ne sesat
Udah umur Yo mbok tau diri dan banyak bertobat jangan selalu merendah seseorang atas penilaian sendiri.seharusnya anda banyak beribadah dan belajar banyak menggunakan kata kata dalam penyampaian yg akan diucapkan.,udah umur iya tobat rendah nilai ibadah ajar mengunakan sampai
Lo Que to.yg terburuk di punyai indo.sok suci😡😡😡👺👺👹,kamu que terburuk punya indo sok suci
Tua bangka....,tua bangka
Pak Jokowi presiden bukan yg terburuk tapi pak Jokowi yg terbaik sepanjang masa❤❤👍,presiden terburuk baik
Yg terburuk itu y sengkuni,terburuk itu y licik
Orang orangan sawah....ngomong ga jelas,orang orang sawah ngomong
Amin nangis iki kyai tapi sll ngurusi politik tok.... Wis gak tau ngurusi agomo blas... Dadi insyaAllah do&#39;a wudlu wae wis lali wong iki mergo setressssss....... Wong iki ngaku kyai tapi kelakuane gak niru kanjeng nabi muhammad saw. Tapi kelakuane niru iblis niru korun niru fir&#39;aun naknatullah.........,nang ini kyai sll ngurusi politik tok ngurusi agomo blas insya do a wudlu lali orang ini mergo tres orang ini ngaku kyai kelakuane niru kanjeng nabi muhammad saw kelakuane niru iblis niru korun niru fir aun naknatulah
Mulut Amin Rais bodoh plonga plongo,mulut bodoh bingung bingung
Sengkuni jaman new,licik jaman new
Yg begini ngaku ulama .. malah lebih mirip sengkuni,ngaku ulama licik
Copot pecimu kakek pemberontak antek amrik.. jadi apapun kamu tak pernah membangun negri.,copot peci kakek berontak antek amrik apa kamu bangun negri
Tak setrum looo pringsilamu is rais tuwek bikin keruh negoro ae,setrum kamu pringsilamu tua bikin keruh negoro aja
Engklek dulu min..,engklek min
Nunggu giliran nnt pada waktunya kau dipanggil polisi,nunggu gilir nt kau panggil polisi
Sebaiknya jangan tampilkan orang ini  <br>Masarakat udah jijik list mukanya kaya comberan Mulutnya kaya Bo. OL,tampil orang ini masarakat udah jijik list muka kaya comberan mulut kaya bo ol
Matamu min cok asu raimu,mata min cok anjing rai
"Justru orang tua terburuk yaa Mbah Amin Rais, isine sakit hati terus, sampai ajalpun sakit hati. Semoga Alloh mengampuninya",orang tua terburuk ya kakek isine sakit hati ajal sakit hati moga ampun
Makin tua makin koplak aee mbah😂😂😂,tua koplak aja kakek
sy lihat wajahnya si tua amin rais ingin rasanya ku samplok cocote...bangkai tua masih aeng2 mulute...malu sy sbg warga jogja ada binatang anjing amin rais dan roy suryo,lihat wajah si tua ku samplok cocote bangkai tua aeng mulute malu sbg warga jogja binatang anjing roy suryo
Muka mu yg buruk Mbah ....hatimu juga busuk  raiso OPO OPO ....,muka kamu buruk kakek hati busuk raiso
Amin pret..,bohong
"Mulutmu harimaumu is, semua keburukan apa yg kamu lontarkan pasti akan kembali kepadamu",mulut kamu harimau keburukan kamu lontar kepada
Amin cocotmu yg terburuk tuekan,cocotmu terburuk tuekan
Semakin divitnah dihujat dibenci maka semakin ditinghikan derajatnya sm Allah,divitnah hujat dibenci ditinghikan derajat
Amien manusia setengah sampah,manusia sampah
Dajal sengkuni berujud manusia,dajal licik ujud manusia
Manusia paling TDK berguna adalah amin rais,manusia guna
Tobat Mbah ws arep mati rung tobat golek opo .....Sengkuni ssengkuni,taubat kakek ws arep mati rung taubat golek licik licik
