original_text,processed_text,cyberbullying_score,cyberbullying_word_count,label
Mending plonga plong Tinimbang pinter go minteri,mending bingung plong timbang pintar go minteri,0.0,0,0
Hidup amin Raiso bapa repormasi,hidup raiso bapa repormasi,0.0,0,0
Mantaappps... Btlllll pak...,mantaps btl,0.0,0,0
Yang menghina itu lambemu min,menghina itu lambe min,0.0,0,0
Amin rais manusia paling redah pikiranya..pengabdi hawa nafsu dan iri dengki,manusia redah pikiranya abdi hawa nafsu iri dengki,0.0,0,0
Wes mbah lereno wes tuo,kakek lereno tua,2.0,1,1
Alhamdulillah masih ada orang yang mengakui kebodohannya.seorang yang mengakui pandai tapi kebodohannya malah ditayangkan  dengan opini mengadu domba bikin negara gaduh.semua politik itu tidak laku karena rakyat sudah mulai maju.,orang aku bodoh aku pandai bodoh tayang opini adu domba bikin negara gaduh politik itu laku rakyat maju,8.0,2,2
Mien...mien....jauh dari ajaran islam watakmu mien,mien mien ajar watak mien,0.0,0,0
"Aku misalkan dekat rumah mbah amin , aku pulingin jongkok dimulut dia mberakin mulut makluk satu ini ,",aku rumah kakek aku pulingin jongkok mulut dia mberakin mulut makluk ini,0.0,0,0
"Dr awal muncul sampai bentar lg bersatu dng😂😂 bumi,orang ini mulutnya bau busuk...😂😂😂",muncul bentar satu dng bumi orang ini mulut bau busuk,5.0,2,2
"Dasar gelandang politik, ngemis cari pendukung, udah bauk cacing tanah msh banyak bacot",dasar gelandang politik ngemis cari dukung udah bauk cacing tanah bacot,2.5,1,1
pelawak,lawak,0.0,0,0
"Sdh tdk jadi presiden jokowi orang ini perlu ditangkap ,,dedam pulitik hibran jd wapres aparat jgn orang2 yg saket hati",presiden orang ini tangkap dedam pulitik hibran wapres aparat orang saket hati,5.0,1,2
Amien pret entut berut bin bau,bohong entut berut bau,2.0,1,1
"Rakyat Indonesia jg menyesal i knp di Indonesia lahir se ekor AMIN RAIS yg mulutnya kayak sapiteng,licik, bahkan keji lebih kejam dari PKI",rakyat indonesia sesal i knp indonesia lahir ekor mulut kayak sapiteng licik keji kejam pki,2.5,1,1
Sudah kek..Ocehan kakek amin rais kayak anak TK paud,oceh kakek kayak anak tk paud,0.0,0,0
Amin Rais adalah ketua MPR terburuk sepanjang masa.,ketua terburuk,0.0,0,0
Tar lagi kan kerna karma dari pak jokowi.orang baik sllu di hujat.senentar lagi bapak kaya pak egi dia dah kna karma.,tar kerna karma orang sllu hujat senentar kaya egi dia kna karma,0.0,0,0
Yg buruk ya sampean pak amin.dah tua.bukan nya sadar.yg menghina ya bukan pak jokowi.yg menghina ya kamu pak.gregetan bangt aku liat orang ini.,buruk ya kamu tua nya sadar menghina ya menghina ya kamu gregetan bangt aku lihat orang ini,5.0,2,2
Amin Rais kakek yg karena irihati jadi terjahat &amp; terculas ...😂😂😂😂,kakek irihati terjahat culas,0.0,0,0
Amin tercerrewet gk laku dijual,cerewet laku jual,0.0,0,0
Namanya juga gelandangan... bicara ne tersesat sepanjang masa.,nama gelandangan bicara ne sesat,3.0,1,1
Udah umur Yo mbok tau diri dan banyak bertobat jangan selalu merendah seseorang atas penilaian sendiri.seharusnya anda banyak beribadah dan belajar banyak menggunakan kata kata dalam penyampaian yg akan diucapkan.,udah umur iya tobat rendah nilai ibadah ajar mengunakan sampai,0.0,0,0
Lo Que to.yg terburuk di punyai indo.sok suci😡😡😡👺👺👹,kamu que terburuk punya indo sok suci,0.0,0,0
Tua bangka....,tua bangka,4.0,2,2
Pak Jokowi presiden bukan yg terburuk tapi pak Jokowi yg terbaik sepanjang masa❤❤👍,presiden terburuk baik,0.0,0,0
Yg terburuk itu y sengkuni,terburuk itu y licik,2.5,1,1
Orang orangan sawah....ngomong ga jelas,orang orang sawah ngomong,0.0,0,0
Amin nangis iki kyai tapi sll ngurusi politik tok.... Wis gak tau ngurusi agomo blas... Dadi insyaAllah do&#39;a wudlu wae wis lali wong iki mergo setressssss....... Wong iki ngaku kyai tapi kelakuane gak niru kanjeng nabi muhammad saw. Tapi kelakuane niru iblis niru korun niru fir&#39;aun naknatullah.........,nang ini kyai sll ngurusi politik tok ngurusi agomo blas insya do a wudlu lali orang ini mergo tres orang ini ngaku kyai kelakuane niru kanjeng nabi muhammad saw kelakuane niru iblis niru korun niru fir aun naknatulah,3.0,1,1
Mulut Amin Rais bodoh plonga plongo,mulut bodoh bingung bingung,4.0,1,2
Sengkuni jaman new,licik jaman new,2.5,1,1
Yg begini ngaku ulama .. malah lebih mirip sengkuni,ngaku ulama licik,2.5,1,1
Copot pecimu kakek pemberontak antek amrik.. jadi apapun kamu tak pernah membangun negri.,copot peci kakek berontak antek amrik apa kamu bangun negri,0.0,0,0
Tak setrum looo pringsilamu is rais tuwek bikin keruh negoro ae,setrum kamu pringsilamu tua bikin keruh negoro aja,2.0,1,1
Engklek dulu min..,engklek min,0.0,0,0
Nunggu giliran nnt pada waktunya kau dipanggil polisi,nunggu gilir nt kau panggil polisi,0.0,0,0
Sebaiknya jangan tampilkan orang ini  <br>Masarakat udah jijik list mukanya kaya comberan Mulutnya kaya Bo. OL,tampil orang ini masarakat udah jijik list muka kaya comberan mulut kaya bo ol,0.0,0,0
Matamu min cok asu raimu,mata min cok anjing rai,7.0,2,2
"Justru orang tua terburuk yaa Mbah Amin Rais, isine sakit hati terus, sampai ajalpun sakit hati. Semoga Alloh mengampuninya",orang tua terburuk ya kakek isine sakit hati ajal sakit hati moga ampun,2.0,1,1
Makin tua makin koplak aee mbah😂😂😂,tua koplak aja kakek,2.0,1,1
sy lihat wajahnya si tua amin rais ingin rasanya ku samplok cocote...bangkai tua masih aeng2 mulute...malu sy sbg warga jogja ada binatang anjing amin rais dan roy suryo,lihat wajah si tua ku samplok cocote bangkai tua aeng mulute malu sbg warga jogja binatang anjing roy suryo,12.5,4,3
Muka mu yg buruk Mbah ....hatimu juga busuk  raiso OPO OPO ....,muka kamu buruk kakek hati busuk raiso,6.0,2,2
Amin pret..,bohong,0.0,0,0
"Mulutmu harimaumu is, semua keburukan apa yg kamu lontarkan pasti akan kembali kepadamu",mulut kamu harimau keburukan kamu lontar kepada,0.0,0,0
Amin cocotmu yg terburuk tuekan,cocotmu terburuk tuekan,0.0,0,0
Semakin divitnah dihujat dibenci maka semakin ditinghikan derajatnya sm Allah,divitnah hujat dibenci ditinghikan derajat,0.0,0,0
Amien manusia setengah sampah,manusia sampah,0.0,0,0
Dajal sengkuni berujud manusia,dajal licik ujud manusia,5.5,2,2
Manusia paling TDK berguna adalah amin rais,manusia guna,0.0,0,0
Tobat Mbah ws arep mati rung tobat golek opo .....Sengkuni ssengkuni,taubat kakek ws arep mati rung taubat golek licik licik,10.0,3,3
Amin amin otak Luk belm juga waras waras fitnah orang trus bagus siap kan diri untuk masuk neraka,otak luk belm sehat sehat fitnah orang trus bagus masuk neraka,3.0,1,1
😂😂😂😂kamu manusia termunafik seIndonesia Iblis,kamu manusia munafik indonesia iblis,3.0,1,1
